|l1filename                                        |l1filepath                                                                 |l1propint |qobject                                           |object                                            |qra                 |qdec                |date_obs                     |exptime     |obsmode    |obstype    |program         |piname                                            |datalvl   |seeing    |airmass         |moonagl   |ra                    |dec                   |
|char                                              |char                                                                       |int       |char                                              |char                                              |char                |char                |char                         |double      |char       |char       |char            |char                                              |int       |double    |double          |double    |double                |double                |
|                                                  |                                                                           |months    |                                                  |                                                  |sexagesimal         |sexagesimal         |                             |s           |           |           |                |                                                  |          |arcsec    |secZ            |deg       |deg                   |deg                   |
|null                                              |null                                                                       |null      |null                                              |null                                              |null                |null                |null                         |null        |null       |null       |null            |null                                              |null      |null      |null            |null      |null                  |null                  |
 neidL1_20210116T070859.fits                        sci/2021/01/16/l1/pv1/neidL1_20210116T070859.fits                           0          -999999                                            LDLS Cal-HRSci                                     -999999              -999999              2021-01-16 07:08:59.000       5.736622     hr          Cal         2020B-2013       Logsdon                                            1          0.0000     1.2324           38.0326    -9.99000000000000e+01  -9.99000000000000e+01  
 neidL1_20210116T070938.fits                        sci/2021/01/16/l1/pv1/neidL1_20210116T070938.fits                           0          -999999                                            LDLS Cal-HRSci                                     -999999              -999999              2021-01-16 07:09:38.000       5.838766     hr          Cal         2020B-2013       Logsdon                                            1          0.0000     1.2306           38.0320    -9.99000000000000e+01  -9.99000000000000e+01  
 neidL1_20210116T071018.fits                        sci/2021/01/16/l1/pv1/neidL1_20210116T071018.fits                           0          -999999                                            LDLS Cal-HRSci                                     -999999              -999999              2021-01-16 07:10:18.000       5.752597     hr          Cal         2020B-2013       Logsdon                                            1          0.0000     1.2287           38.0318    -9.99000000000000e+01  -9.99000000000000e+01  
 neidL1_20210116T071106.fits                        sci/2021/01/16/l1/pv1/neidL1_20210116T071106.fits                           0          -999999                                            FlatBB Cal-HRSci                                   -999999              -999999              2021-01-16 07:11:06.000       69.832846    hr          Cal         2020B-2013       Logsdon                                            1          0.0000     1.2266           38.0319    -9.99000000000000e+01  -9.99000000000000e+01  
 neidL1_20210116T071252.fits                        sci/2021/01/16/l1/pv1/neidL1_20210116T071252.fits                           0          -999999                                            FlatBB Cal-HRSci                                   -999999              -999999              2021-01-16 07:12:52.000       69.761607    hr          Cal         2020B-2013       Logsdon                                            1          0.0000     1.2217           38.0311    -9.99000000000000e+01  -9.99000000000000e+01  
 neidL1_20210116T071439.fits                        sci/2021/01/16/l1/pv1/neidL1_20210116T071439.fits                           0          -999999                                            FlatBB Cal-HRSci                                   -999999              -999999              2021-01-16 07:14:39.000       69.840608    hr          Cal         2020B-2013       Logsdon                                            1          0.0000     1.2170           38.0306    -9.99000000000000e+01  -9.99000000000000e+01  
 neidL1_20210116T071625.fits                        sci/2021/01/16/l1/pv1/neidL1_20210116T071625.fits                           0          -999999                                            FlatBB Cal-HRSci                                   -999999              -999999              2021-01-16 07:16:25.000       69.747527    hr          Cal         2020B-2013       Logsdon                                            1          0.0000     1.2124           38.0277    -9.99000000000000e+01  -9.99000000000000e+01  
 neidL1_20210116T071811.fits                        sci/2021/01/16/l1/pv1/neidL1_20210116T071811.fits                           0          -999999                                            FlatBB Cal-HRSci                                   -999999              -999999              2021-01-16 07:18:11.000       69.827883    hr          Cal         2020B-2013       Logsdon                                            1          0.0000     1.2078           38.0293    -9.99000000000000e+01  -9.99000000000000e+01  
 neidL1_20210116T081042.fits                        sci/2021/01/16/l1/pv1/neidL1_20210116T081042.fits                           0          -999999                                            Etalon Cal                                         -999999              -999999              2021-01-16 08:10:42.000       59.776553    hr          Cal         2020B-2013       Logsdon                                            1          0.0000     1.1023           37.9978    -9.99000000000000e+01  -9.99000000000000e+01  
 neidL1_20210116T081216.fits                        sci/2021/01/16/l1/pv1/neidL1_20210116T081216.fits                           0          -999999                                            Etalon Cal                                         -999999              -999999              2021-01-16 08:12:16.000       59.823608    hr          Cal         2020B-2013       Logsdon                                            1          0.0000     1.4503           40.5726    -9.99000000000000e+01  -9.99000000000000e+01  
